Longitude,Latitude,P(mg/L),Type_échant
-73.04757,45.12693,0.0568,eau
-73.06386,45.11552,0.061,eau
-73.03792,45.14144,0.093,eau
-73.05071,45.11935,0.076,eau
-73.03959,45.13433,0.071,eau
-73.03348,45.12229,0.0275,eau
-73.06321,45.11990,0.138,eau
-73.04727,45.13392,0.112,eau
-73.04691,45.11310,0.0156,eau
-73.05051,45.12235,0.0516,eau
-73.03894,45.13720,0.0473,eau
-73.03690,45.12418,0.062,eau
-73.03035,45.12712,0.067,eau
-73.02881,45.12026,0.0578,eau
-73.04913,45.12509,0.0236,eau
-73.02865,45.11830,0.075,eau
-73.03748,45.14350,0.0437,eau
-73.02904,45.13475,0.0236,eau
-73.03204,45.12743,0.068,eau
-73.03739,45.14589,0.048,eau
-73.03327,45.15789,0.0159,eau
-73.05960,45.11579,0.0478,eau
-73.04497,45.12765,0.09,eau
-73.04723,45.13077,0.07,eau
-73.04866,45.13569,0.0416,eau
-73.05425,45.11717,0.0271,eau
-73.02965,45.13175,0.238,eau
-73.03286,45.11796,0.0331,eau
-73.04280,45.12794,0.0111,eau
-73.03365,45.12425,0.0212,eau
-73.03687,45.14857,0.082,eau
-73.03117,45.11725,0.0167,eau
-73.04700,45.11951,0.0554,eau
-73.03846,45.13918,0.117,eau
-73.03607,45.15134,0.062,eau
-73.04140,45.12998,0.088,eau
-73.03423,45.15473,0.0551,eau
-73.03639,45.13629,2.966,sol
-73.03968,45.12870,4.113,sol
-73.03997,45.14479,3.361,sol
-73.03877,45.14697,3.18,sol
-73.03104,45.13877,1.696,sol
-73.03569,45.15514,3.104,sol
-73.03344,45.15840,1.89,sol
-73.02844,45.15401,2.463,sol
-73.02811,45.15585,2.316,sol
-73.03532,45.15706,2.688,sol
-73.03330,45.14296,2.1613,sol
-73.03403,45.14624,3.166,sol
-73.03513,45.14067,2.704,sol
-73.03241,45.13774,3.288,sol
-73.03195,45.14460,2.323,sol
-73.02866,45.14412,2.391,sol
-73.03614,45.14502,2.711,sol
-73.03575,45.12865,2.336,sol
-73.03799,45.13828,4.059,sol