Year,JD,Discharge
2021,1,1.443
2021,2,1.655
2021,3,1.764
2021,4,1.772
2021,5,1.732
2021,6,1.675
2021,7,1.685
2021,8,1.668
2021,9,1.657
2021,10,1.672
2021,11,1.658
2021,12,1.707
2021,13,1.712
2021,14,1.707
2021,15,1.697
2021,16,1.694
2021,17,1.719
2021,18,1.693
2021,19,1.664
2021,20,1.67
2021,21,1.672
2021,22,1.692
2021,23,1.636
2021,24,1.505
2021,25,1.217
2021,26,1.236
2021,27,1.287
2021,28,1.284
2021,29,1.204
2021,30,1.13
2021,31,1.085
2021,32,1.082
2021,33,1.151
2021,34,1.257
2021,35,1.289
2021,36,1.357
2021,37,1.451
2021,38,1.493
2021,39,1.554
2021,40,1.551
2021,41,1.482
2021,42,1.403
2021,43,1.266
2021,44,1.172
2021,45,1.111
2021,46,1.038
2021,47,1.041
2021,48,0.971
2021,49,1.071
2021,50,1.188
2021,51,1.348
2021,52,1.397
2021,53,1.425
2021,54,1.484
2021,55,1.452
2021,56,1.468
2021,57,1.435
2021,58,1.464
2021,59,1.473
2021,60,1.417
2021,61,1.339
2021,62,1.382
2021,63,1.381
2021,64,1.333
2021,65,1.34
2021,66,1.334
2021,67,1.286
2021,68,1.314
2021,69,1.305
2021,70,1.293
2021,71,1.305
2021,72,1.492
2021,73,1.588
2021,74,1.499
2021,75,1.451
2021,76,1.371
2021,77,1.37
2021,78,1.371
2021,79,1.27
2021,80,1.168
2021,81,1.25
2021,82,1.299
2021,83,1.31
2021,84,1.359
2021,85,1.442
2021,86,1.623
2021,87,1.749
2021,88,1.806
2021,89,1.671
2021,90,1.648
2021,91,1.625
2021,92,1.578
2021,93,1.603
2021,94,1.573
2021,95,1.534
2021,96,1.499
2021,97,1.468
2021,98,1.426
2021,99,1.422
2021,100,1.287
2021,101,1.135
2021,102,1.118
2021,103,1.15
2021,104,1.161
2021,105,1.142
2021,106,1.192
2021,107,1.195
2021,108,1.133
2021,109,1.153
2021,110,1.145
2021,111,1.104
2021,112,1.107
2021,113,1.084
2021,114,1.025
2021,115,1.035
2021,116,1.086
2021,117,1.058
2021,118,1.024
2021,119,1.02
2021,120,1.089
2021,121,1.219
2021,122,1.353
2021,123,1.34
2021,124,1.271
2021,125,1.266
2021,126,1.262
2021,127,1.211
2021,128,1.157
2021,129,1.264
2021,130,1.222
2021,131,1.207
2021,132,1.213
2021,133,1.246
2021,134,1.229
2021,135,1.2
2021,136,1.193
2021,137,1.213
2021,138,1.212
2021,139,1.226
2021,140,1.212
2021,141,1.175
2021,142,1.162
2021,143,1.14
2021,144,1.132
2021,145,1.101
2021,146,1.149
2021,147,1.129
2021,148,1.062
2021,149,1.083
2021,150,1.06
2021,151,1.038
2021,152,1.07
2021,153,1.067
2021,154,1.062
2021,155,1.08
2021,156,1.066
2021,157,1.001
2021,158,0.994
2021,159,0.988
2021,160,0.976
2021,161,0.988
2021,162,0.994
2021,163,1.039
2021,164,0.956
2021,165,0.986
2021,166,0.993
2021,167,0.98
2021,168,0.97
2021,169,0.958
2021,170,1.02
2021,171,0.996
2021,172,0.962
2021,173,0.956
2021,174,0.967
2021,175,0.963
2021,176,0.966
2021,177,1.002
2021,178,0.98
2021,179,0.998
2021,180,1.022
2021,181,1.02
2021,182,1.061
2021,183,1.047
2021,184,1.054
2021,185,1.07
2021,186,1.067
2021,187,1.064
2021,188,1.066
2021,189,1.02
2021,190,1.076
2021,191,1.079
2021,192,1.072
2021,193,1.058
2021,194,1.039
2021,195,1.081
2021,196,1.053
2021,197,1.084
2021,198,1.143
2021,199,1.183
2021,200,1.152
2021,201,1.185
2021,202,1.271
2021,203,1.294
2021,204,1.283
2021,205,1.251
2021,206,1.245
2021,207,1.251
2021,208,1.314
2021,209,1.284
2021,210,1.249
2021,211,1.309
2021,212,1.305
2021,213,1.248
2021,214,1.222
2021,215,1.24
2021,216,1.25
2021,217,1.243
2021,218,1.226
2021,219,1.216
2021,220,1.205
2021,221,1.173
2021,222,1.168
2021,223,1.234
2021,224,1.199
2021,225,1.176
2021,226,1.165
2021,227,1.146
2021,228,1.138
2021,229,1.165
2021,230,1.175
2021,231,1.146
2021,232,1.147
2021,233,1.133
2021,234,1.102
2021,235,1.144
2021,236,1.185
2021,237,1.103
2021,238,1.103
2021,239,1.11
2021,240,1.102
2021,241,1.126
2021,242,1.142
2021,243,1.131
2021,244,1.114
2021,245,1.109
2021,246,1.116
2021,247,1.109
2021,248,1.071
2021,249,1.073
2021,250,1.08
2021,251,1.074
2021,252,1.087
2021,253,1.083
2021,254,1.06
2021,255,1.073
2021,256,1.073
2021,257,1.092
2021,258,1.083
2021,259,1.092
2021,260,1.124
2021,261,1.104
2021,262,1.084
2021,263,1.05
2021,264,1.069
2021,265,1.083
2021,266,1.098
2021,267,1.169
2021,268,1.207
2021,269,1.213
2021,270,1.207
2021,271,1.23
2021,272,1.278
2021,273,1.274
2021,274,1.32
2021,275,1.274
2021,276,1.263
2021,277,1.265
2021,278,1.25
2021,279,1.297
2021,280,1.27
2021,281,1.255
2021,282,1.158
2021,283,1.091
2021,284,1.068
2021,285,1.168
2021,286,1.209
2021,287,1.229
2021,288,1.236
2021,289,1.219
2021,290,1.298
2021,291,1.289
2021,292,1.313
2021,293,1.307
2021,294,1.314
2021,295,1.355
2021,296,1.34
2021,297,1.34
2021,298,1.314
2021,299,1.317
2021,300,1.333
2021,301,1.335
2021,302,1.372
2021,303,1.38
2021,304,1.389
2021,305,1.517
2021,306,1.494
2021,307,1.421
2021,308,1.371
2021,309,1.373
2021,310,1.363
2021,311,1.354
2021,312,1.342
2021,313,1.322
2021,314,1.322
2021,315,1.326
2021,316,1.303
2021,317,1.34
2021,318,1.367
2021,319,1.385
2021,320,1.419
2021,321,1.394
2021,322,1.38
2021,323,1.431
2021,324,1.42
2021,325,1.444
2021,326,1.447
2021,327,1.417
2021,328,1.409
2021,329,1.4
2021,330,1.396
2021,331,1.474
2021,332,1.455
2021,333,1.404
2021,334,1.401
2021,335,1.412
2021,336,1.412
2021,337,1.398
2021,338,1.404
2021,339,1.436
2021,340,1.404
2021,341,1.461
2021,342,1.447
2021,343,1.501
2021,344,1.436
2021,345,1.501
2021,346,1.539
2021,347,1.438
2021,348,1.459
2021,349,1.517
2021,350,1.527
2021,351,1.524
2021,352,1.448
2021,353,1.526
2021,354,1.507
2021,355,1.475
2021,356,1.52
2021,357,1.515
2021,358,1.44
2021,359,1.442
2021,360,1.501
2021,361,1.498
2021,362,1.471
2021,363,1.444
2021,364,1.461
2021,365,1.495
